No.,Time,Absolute_Time,Source,Destination,Protocol,Length,Info
1,0.0,2024-08-15 00:09:00.000,0.0.0.0,255.255.255.255,DHCP,383,DHCP Request  - Transaction ID 0xf96e0aac
2,0.000755,2024-08-15 00:09:00.000,10.8.15.4,255.255.255.255,DHCP,342,DHCP NAK      - Transaction ID 0xf96e0aac
3,0.010733,2024-08-15 00:09:00.010,0.0.0.0,255.255.255.255,DHCP,342,DHCP Discover - Transaction ID 0x29b669b8
4,0.011654,2024-08-15 00:09:00.011,10.8.15.4,255.255.255.255,DHCP,353,DHCP Offer    - Transaction ID 0x29b669b8
5,0.023612,2024-08-15 00:09:00.023,0.0.0.0,255.255.255.255,DHCP,389,DHCP Request  - Transaction ID 0x29b669b8
6,0.02423,2024-08-15 00:09:00.024,10.8.15.4,255.255.255.255,DHCP,358,DHCP ACK      - Transaction ID 0x29b669b8
7,0.039631,2024-08-15 00:09:00.039,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.1? Tell 10.8.15.133
8,0.039716,2024-08-15 00:09:00.039,Cisco_02:a7:4b,Intel_03:54:82,ARP,42,10.8.15.1 is at 00:16:9c:02:a7:4b
9,0.048765,2024-08-15 00:09:00.048,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources
10,0.05777,2024-08-15 00:09:00.057,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.133? (ARP Probe)
11,0.057853,2024-08-15 00:09:00.057,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources
12,0.07237,2024-08-15 00:09:00.072,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
13,0.077461,2024-08-15 00:09:00.077,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
14,0.077704,2024-08-15 00:09:00.077,10.8.15.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
15,0.079539,2024-08-15 00:09:00.079,10.8.15.133,224.0.0.251,MDNS,81,"Standard query 0x0000 ANY DESKTOP-H8ALZBV.local, ""QM"" question"
16,0.079799,2024-08-15 00:09:00.079,10.8.15.133,224.0.0.251,MDNS,91,Standard query response 0x0000 A 10.8.15.133
17,0.081786,2024-08-15 00:09:00.081,10.8.15.133,224.0.0.252,LLMNR,75,Standard query 0x67ad ANY DESKTOP-H8ALZBV
18,0.358379,2024-08-15 00:09:00.358,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.4? Tell 10.8.15.133
19,0.358694,2024-08-15 00:09:00.358,Dell_8c:9c:40,Intel_03:54:82,ARP,42,10.8.15.4 is at 64:00:6a:8c:9c:40
20,0.358829,2024-08-15 00:09:00.358,10.8.15.133,10.8.15.4,DNS,99,Standard query 0xa098 SRV _ldap._tcp.dc._msdcs.lafontainebleu.org
21,0.359155,2024-08-15 00:09:00.359,10.8.15.4,10.8.15.133,DNS,169,Standard query response 0xa098 SRV _ldap._tcp.dc._msdcs.lafontainebleu.org SRV 0 100 389 win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
22,0.381043,2024-08-15 00:09:00.381,10.8.15.133,10.8.15.4,DNS,94,Standard query 0xcf32 A win-jegjix7q9rs.lafontainebleu.org
23,0.381332,2024-08-15 00:09:00.381,10.8.15.4,10.8.15.133,DNS,110,Standard query response 0xcf32 A win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
24,0.390455,2024-08-15 00:09:00.390,10.8.15.133,10.8.15.4,CLDAP,272,"searchRequest(1) ""<ROOT>"" baseObject "
25,0.390729,2024-08-15 00:09:00.390,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.1? Tell 10.8.15.133
26,0.390849,2024-08-15 00:09:00.390,Cisco_02:a7:4b,Intel_03:54:82,ARP,42,10.8.15.1 is at 00:16:9c:02:a7:4b
27,0.390907,2024-08-15 00:09:00.390,10.8.15.4,10.8.15.133,CLDAP,248,"searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [1 result]"
28,0.413675,2024-08-15 00:09:00.413,Intel_03:54:82,Broadcast,ARP,42,Who has 10.8.15.1? Tell 10.8.15.133
29,0.413799,2024-08-15 00:09:00.413,Cisco_02:a7:4b,Intel_03:54:82,ARP,42,10.8.15.1 is at 00:16:9c:02:a7:4b
30,0.437265,2024-08-15 00:09:00.437,10.8.15.133,10.8.15.255,NBNS,110,Registration NB DESKTOP-H8ALZBV<00>
31,0.437739,2024-08-15 00:09:00.437,10.8.15.133,10.8.15.255,NBNS,110,Registration NB LAFONTAINEBLEU<00>
32,0.50984,2024-08-15 00:09:00.509,10.8.15.133,10.8.15.4,DNS,99,Standard query 0xbfe0 SRV _ldap._tcp.dc._msdcs.lafontainebleu.org
33,0.510398,2024-08-15 00:09:00.510,10.8.15.4,10.8.15.133,DNS,169,Standard query response 0xbfe0 SRV _ldap._tcp.dc._msdcs.lafontainebleu.org SRV 0 100 389 win-jegjix7q9rs.lafontainebleu.org A 10.8.15.4
